Fri Sep  1 19:50:04.981 UTC
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.3 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65501) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.5 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65503) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.7 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65503) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.13 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 64006) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.114 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 64005) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1124 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1126 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1128 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1130 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1224 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1226 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1228 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1230 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:17:16.313 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1324 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65013) 
